first_name,last_name,state,gender,birthdate
Joshua,Roberts,Pennsylvania,M,1968-01-06
Edwin,Vasquez,Arizona,M,1943-12-03
Patricia,Ramirez,Michigan,F,1979-07-29
Karen,Hoffman,Illinois,F,1971-07-31
Justin,Prince,Alabama,M,1952-08-23
Jennifer,Pace,Kansas,F,1971-07-21
Ryan,Curtis,Massachusetts,M,1954-11-16
Helen,Clark,Wisconsin,F,1963-11-05
Jennifer,Saunders,California,F,1968-07-29
Christopher,Poole,New Jersey,M,1955-06-27
Timothy,Fowler,New Mexico,M,1978-03-28
Ronnie,Roberts,New Mexico,M,1981-11-12
Kyle,Young,Texas,M,1969-12-29
Fernando,Figueroa,Florida,M,1960-02-26
John,Hoffman,Illinois,M,1956-05-14
Kelly,Fisher,North Dakota,F,1955-09-04
Elizabeth,Kelley,North Carolina,F,1980-04-19
Jason,Williams,Idaho,M,1977-11-17
Paul,Baxter,California,M,1971-03-03
Alexander,Wade,New Jersey,M,1950-02-06
Howard,Martin,Virginia,M,1966-05-02
Lindsey,Smith,Tennessee,F,1959-06-08
Susan,Cruz,Virginia,F,1950-08-11
Nicole,Sullivan,Arkansas,F,1960-10-08
William,Stone,Alabama,M,1930-02-11
Anthony,Jensen,Arkansas,M,1969-06-29
Carol,Johnson,Texas,F,1970-08-28
Laura,Hoffman,Florida,F,1958-01-12
Lawrence,Cohen,Mississippi,M,1970-10-05
Kristina,Lee,Minnesota,F,1972-06-13
Sarah,Taylor,Pennsylvania,F,1974-07-08
Mark,Hood,Idaho,M,1964-03-01
Duane,Mcbride,Indiana,M,1964-12-12
Steven,Smith,Iowa,M,1936-09-25
Daniel,Jones,Pennsylvania,M,1938-02-19
John,Leblanc,Tennessee,M,1967-01-07
Amanda,Cooper,New Mexico,F,1967-01-27
Seth,Young,Arkansas,M,1975-06-24
Sandra,Dominguez,Montana,F,1979-02-09
Elizabeth,Stewart,Missouri,F,1975-11-05
Roy,Reed,Montana,M,1974-07-14
Derrick,Hunt,Ohio,M,1948-11-21
Jennifer,Miller,Georgia,F,1952-03-06
Robert,Kim,Texas,M,1948-08-20
Bill,Vaughn,South Dakota,M,1959-03-05
Emily,Diaz,Mississippi,F,1936-12-19
John,Stout,Kentucky,M,1947-09-18
Alexis,Cuevas,Illinois,F,1966-04-08
Cynthia,Williams,Indiana,F,1959-12-30
Randall,Long,Rhode Island,M,1977-12-31
Robyn,Sanchez,Arizona,F,1945-09-27
Jason,Walsh,Pennsylvania,M,1961-03-01
Kathryn,Fuller,Idaho,F,1946-02-21
Natalie,Clarke,Missouri,F,1964-01-23
Jodi,Huffman,New York,F,1930-05-15
Stephen,Rodriguez,North Carolina,M,1969-03-31
Rebecca,Long,New York,F,1977-06-01
Kimberly,Ward,Texas,F,1961-01-20
Dylan,Zimmerman,Georgia,M,1966-07-26
Lisa,Jones,Ohio,F,1960-12-03
James,Weiss,Arizona,M,1945-04-09
Timothy,Lynn,Illinois,M,1972-05-07
Marc,Crawford,Texas,M,1967-11-26
Tammy,Wilkins,Wisconsin,F,1967-01-04
Stephen,Johnson,Massachusetts,M,1963-01-01
Debra,Castro,Vermont,F,1980-07-27
Frank,Parker,North Carolina,M,1973-02-02
Gerald,Rich,Pennsylvania,M,1956-04-02
Lori,Williams,Vermont,F,1963-07-26
Stephanie,Collins,South Carolina,F,1950-12-28
Benjamin,Baldwin,Arkansas,M,1976-03-29
Charles,Murphy,Missouri,M,1963-05-05
Vincent,Rodriguez,North Carolina,M,1978-01-13
Timothy,Gross,New York,M,1925-05-10
Dominic,Blair,Utah,M,1969-02-05
Amber,Anderson,Pennsylvania,F,1956-10-07
Ryan,Young,Illinois,M,1957-10-20
Ryan,Collins,Colorado,M,1968-06-07
Donald,Adams,Alabama,M,1974-07-08
Lori,Beasley,Florida,F,1967-06-19
Ryan,Mueller,South Carolina,M,1964-04-16
Michelle,Padilla,Mississippi,F,1954-08-09
Darrell,Walker,Colorado,M,1947-10-23
Gary,Peterson,South Carolina,M,1976-01-17
Thomas,Jones,New Mexico,M,1965-01-28
Tiffany,Anderson,New York,F,1967-10-30
Eric,Scott,New Jersey,M,1922-07-13
Amber,Green,New Jersey,F,1940-12-17
Melissa,Bauer,Florida,F,1955-08-21
Amanda,Brown,Minnesota,F,1968-11-05
Scott,Walker,Indiana,M,1951-06-16
Ryan,Fry,South Carolina,M,1972-07-12
Anthony,Macias,Virginia,M,1947-01-19
Andrea,Ward,Texas,F,1963-03-22
Michael,Le,New Mexico,M,1944-07-19
Troy,Davis,Virginia,M,1958-01-24
John,Brown,Texas,M,1955-09-28
Anthony,Lewis,Virginia,M,1923-09-24
Brenda,Rodriguez,Texas,F,1959-11-18
John,Porter,Arkansas,M,1976-10-19
Aaron,Davis,New Jersey,M,1944-09-27
Tara,Parker,Utah,F,1948-10-23
Sherry,Marquez,Mississippi,F,1956-12-22
Benjamin,Porter,Georgia,M,1970-01-18
Isaac,Cruz,Maine,M,1948-07-17
Joseph,Ross,Texas,M,1979-08-25
Gina,Mccarthy,New York,F,1965-08-25
Oscar,Aguilar,Tennessee,M,1966-11-08
Juan,Mills,Indiana,M,1947-10-15
Beth,Perez,Wyoming,F,1959-01-30
Jillian,Nelson,Tennessee,F,1974-04-18
Sierra,Walker,Michigan,F,1955-07-29
Johnny,Ryan,Mississippi,M,1971-11-24
Denise,Carroll,New Hampshire,F,1963-10-25
Joseph,Hayes,California,M,1966-09-15
Michael,Miller,Arizona,M,1936-10-23
Mike,Johnson,Oklahoma,M,1957-11-05
William,Crawford,Florida,M,1964-09-26
Aaron,Fox,Kentucky,M,1946-11-19
Gregory,Roberts,Montana,M,1962-09-21
Willie,Allen,Ohio,M,1964-10-29
Jessica,Stevens,New Mexico,F,1976-10-09
Elizabeth,Ross,Mississippi,F,1981-03-05
Emily,Taylor,Indiana,F,1975-04-29
Leonard,Johnson,New York,M,1969-10-12
Eric,Vaughan,Ohio,M,1969-07-04
Leah,Castro,Utah,F,1962-03-20
Bradley,Martin,Colorado,M,1960-02-05
William,Lawrence,Utah,M,1953-09-23
Angela,Wagner,Tennessee,F,1963-08-27
April,Nunez,Pennsylvania,F,1957-01-08
Monica,Morton,Arizona,F,1941-10-30
Kelly,Carter,Massachusetts,F,1943-07-04
Melissa,Campbell,Florida,F,1975-03-21
Terry,Barrett,Illinois,M,1977-03-29
Mary,Meza,Indiana,F,1947-04-23
William,Allen,Georgia,M,1947-09-07
Ashley,Horton,Arizona,F,1954-08-17
Anthony,Barker,Iowa,M,1959-05-12
Nicholas,Sanchez,West Virginia,M,1978-05-05
Jeffrey,Jackson,Wisconsin,M,1968-03-23
Victoria,Buchanan,Colorado,F,1950-06-28
John,French,Alabama,M,1981-06-15
James,Combs,New Hampshire,M,1942-03-20
Colleen,Jones,Georgia,F,1964-09-24
Angelica,Chavez,Wisconsin,F,1936-07-23
Lance,Garcia,South Dakota,M,1943-01-27
Travis,Bray,Utah,M,1972-05-04
Timothy,Murphy,Illinois,M,1949-01-22
Jennifer,Smith,Texas,F,1968-05-22
William,Johnson,Oregon,M,1972-03-05
Cindy,Love,New York,F,1945-09-02
Jennifer,Carrillo,Florida,F,1954-10-26
Anthony,Dixon,Pennsylvania,M,1958-04-05
Bailey,Edwards,Kansas,F,1950-11-12
Erica,Scott,Florida,F,1973-02-12
Dustin,Thomas,South Dakota,M,1955-07-30
Edward,Bowman,Florida,M,1972-07-05
James,Chambers,Louisiana,M,1966-10-23
Kenneth,Young,Florida,M,1967-03-31
Jessica,Evans,Wisconsin,F,1953-07-04
Jeremy,Kirk,South Carolina,M,1937-02-26
Christina,Barnes,New York,F,1940-10-12
Maria,Jones,Illinois,F,1965-04-19
Christina,Fry,New Jersey,F,1964-12-22
Kevin,Warren,Louisiana,M,1976-10-30
Shelby,Miller,Alabama,F,1949-06-14
Carl,Green,Texas,M,1971-03-01
Samuel,Johnson,North Carolina,M,1943-01-14
Eduardo,Lin,Wisconsin,M,1972-07-14
Candice,Brown,Illinois,F,1949-02-11
Lisa,May,Indiana,F,1930-03-15
Eric,Hess,Pennsylvania,M,1962-02-19
William,Mathews,Florida,M,1934-04-09
Victoria,Shelton,Delaware,F,1954-01-24
Alison,Everett,Kentucky,F,1967-09-01
Susan,Braun,Georgia,F,1972-02-17
Michael,Bautista,Utah,M,1970-10-03
Kelly,Johnson,Oregon,M,1959-04-19
Melissa,Miller,Pennsylvania,F,1980-06-04
Shirley,Sawyer,Illinois,F,1954-02-09
Rhonda,Reyes,West Virginia,F,1957-04-03
Angela,Townsend,Arizona,F,1944-04-17
Richard,Spencer,Arizona,M,1957-01-19
Michelle,Valdez,California,F,1978-06-16
Darryl,Robertson,Massachusetts,M,1969-08-26
Justin,Morton,Louisiana,M,1970-01-19
Tonya,Patel,Minnesota,F,1978-06-21
John,Shepherd,North Carolina,M,1961-12-26
Derrick,Holt,New Hampshire,M,1973-10-16
Amanda,Bridges,Maryland,F,1944-05-15
Beth,Riley,North Carolina,F,1957-04-22
Shelby,Parker,New York,F,1948-05-25
Maureen,Yang,Illinois,F,1959-04-09
Colleen,Beltran,Texas,F,1957-07-04
Spencer,Johnson,Ohio,M,1957-06-25
Robert,Roberson,New Jersey,M,1952-09-13
Anthony,Richards,Georgia,M,1946-03-09
Susan,White,Montana,F,1977-07-20
Kimberly,Ramsey,Minnesota,F,1950-08-26
Kimberly,Patton,Colorado,F,1977-10-04
Susan,Anderson,Wisconsin,F,1954-12-19
Roberto,Hawkins,Colorado,M,1955-10-01
Elizabeth,Hart,California,F,1960-09-09
Mary,Pierce,Washington,F,1957-11-09
Candace,Padilla,North Carolina,F,1943-06-16
Jeffrey,Fuller,Minnesota,M,1968-07-28
Terry,Martinez,Colorado,F,1964-03-23
Bryan,Duke,Tennessee,M,1963-05-26
Michael,Macias,South Carolina,M,1977-04-28
Zachary,Gilmore,Kansas,M,1962-09-14
Ryan,Smith,Michigan,M,1959-06-14
Sean,Taylor,California,M,1965-06-05
Kristen,Gonzalez,Kentucky,F,1948-02-02
Heidi,Stewart,New York,F,1953-06-08
David,Phillips,Oregon,M,1936-11-24
David,Austin,Texas,M,1952-11-05
Shelia,Johnson,Ohio,F,1957-09-13
Kyle,Gilbert,Kansas,M,1963-03-14
Mark,Wright,Montana,M,1956-05-01
Steven,Bradley,Maine,M,1948-06-06
Lisa,Hampton,New York,F,1965-05-24
Diana,Morris,Texas,F,1969-03-04
Stephen,Mcdonald,Massachusetts,M,1947-04-08
Walter,Fuentes,Minnesota,M,1954-03-17
Philip,Lang,New York,M,1963-03-01
Amanda,Osborne,New York,F,1973-05-09
David,Howard,Kentucky,M,1961-08-01
Dean,Long,Oklahoma,M,1977-12-03
Kimberly,Dawson,Arkansas,F,1953-04-08
Melinda,Hernandez,Texas,F,1979-10-13
David,Banks,Arizona,M,1952-09-23
Andrea,Scott,Michigan,F,1958-01-08
Melissa,Payne,Arizona,F,1953-08-10
Larry,Robles,Illinois,M,1967-08-02
Anthony,Mack,North Carolina,M,1963-03-02
Colin,Mitchell,Missouri,M,1954-07-23
Kyle,Jackson,Louisiana,M,1963-03-30
Lauren,Griffin,California,F,1963-01-17
Timothy,Wheeler,Wisconsin,M,1972-03-12
Philip,Johnston,Kansas,M,1952-02-20
Danielle,Bowers,Massachusetts,F,1968-05-24
Sydney,Howell,Florida,F,1964-12-27
Jasmine,Davis,Arkansas,F,1960-06-06
Cody,Townsend,Ohio,M,1960-06-05
Michele,Mitchell,Colorado,F,1960-12-29
Scott,Estes,Florida,M,1952-03-21
Steve,Miller,Connecticut,M,1959-01-22
Gary,Sharp,Florida,M,1977-07-20
David,Jones,Louisiana,M,1966-04-05
James,Johnson,Alabama,M,1947-03-16
Jason,Cruz,Florida,M,1971-08-15
Brian,Molina,Washington,M,1978-09-16
Scott,Bridges,Virginia,M,1962-06-18
Andrea,Tran,Michigan,F,1959-08-13
Mary,Alvarez,California,F,1939-01-17
Jimmy,Escobar,Illinois,M,1961-10-27
Jessica,Scott,South Carolina,F,1940-02-17
Jay,Smith,New Jersey,M,1973-07-26
Curtis,Gould,Minnesota,M,1965-05-26
Karl,Saunders,Mississippi,M,1953-10-26
Angela,Ford,Colorado,F,1958-10-23
Robert,Macias,Colorado,M,1979-10-30
Cathy,Riley,Ohio,F,1967-11-15
Edward,Vega,Utah,M,1960-07-28
Troy,Franklin,Missouri,M,1966-12-04
Daniel,Jenkins,Georgia,M,1949-10-13
Michael,Berry,Michigan,M,1962-01-08
Jane,Johnson,New York,F,1977-06-27
John,Parsons,Ohio,M,1963-04-20
Catherine,Harper,Pennsylvania,F,1959-03-06
Alyssa,Hoffman,Louisiana,F,1954-12-21
Thomas,Medina,Missouri,M,1964-03-02
Dylan,Burton,North Dakota,M,1961-02-06
Alicia,Vincent,Wyoming,F,1966-11-01
Arthur,Ferrell,California,M,1958-02-22
Mike,Allen,Ohio,M,1970-11-10
Andrew,Williams,Mississippi,M,1937-12-16
Timothy,Bell,Louisiana,M,1946-03-15
Amber,Sutton,Pennsylvania,F,1972-01-30
Barbara,Thompson,Oklahoma,F,1975-03-06
Debra,Smith,Texas,F,1938-07-25
Jason,Smith,South Carolina,M,1952-11-23
Taylor,Stewart,Florida,F,1918-07-31
Alicia,Griffin,Georgia,F,1972-05-22
Kara,Thompson,Ohio,F,1955-01-03
Samantha,Williams,North Carolina,F,1952-07-05
Tara,Campos,North Carolina,F,1980-11-17
Rachel,Andrews,Alabama,F,1977-12-11
Tyler,Kennedy,Texas,M,1973-12-22
Alexis,Smith,New York,F,1965-02-09
Joseph,Lynch,Texas,M,1964-07-28
Paul,Galvan,North Carolina,M,1964-04-04
Steven,Woodward,Louisiana,M,1980-08-31
Mary,Lewis,Michigan,F,1952-05-14
Jonathan,Clark,Texas,M,1945-08-12
Keith,Mclaughlin,Virginia,M,1964-09-07
Paul,Brown,North Carolina,M,1947-07-19
Mario,Johnson,Oregon,M,1949-01-03
Devin,Moore,Arizona,M,1964-06-23
Raymond,Parker,California,M,1945-01-26
Brady,French,Arizona,M,1964-12-26
Chloe,Estrada,New York,F,1961-02-09
Daniel,Hahn,Florida,M,1977-03-29
Luke,Morgan,Montana,M,1957-09-22
Todd,Whitney,Pennsylvania,M,1960-10-10
Ann,Blair,Georgia,F,1970-12-02
Jessica,Collins,Michigan,F,1930-12-29
Matthew,Reed,Pennsylvania,M,1945-06-26
Derrick,Smith,Colorado,M,1947-03-18
Sara,Perkins,Kansas,F,1965-07-17
Katrina,Conley,Utah,F,1935-08-03
Erika,Reyes,New York,F,1965-01-25
Cynthia,Downs,Minnesota,F,1968-03-10
Robert,Sherman,New York,M,1960-09-14
Felicia,Woodard,Connecticut,F,1979-11-02
Rachel,Cain,Georgia,F,1955-12-30
Jenna,Bruce,Illinois,F,1977-07-27
Joshua,Lozano,Ohio,M,1946-10-08
Joshua,Stephens,Michigan,M,1971-06-30
Melody,Alexander,Ohio,F,1967-04-22
Joseph,Holmes,Michigan,M,1962-02-25
George,Martin,Minnesota,M,1977-03-29
Sarah,Donaldson,New York,F,1945-10-06
Amanda,Vaughn,Utah,F,1953-06-13
Alexis,Leonard,Maryland,F,1955-11-26
Monica,Krueger,Colorado,F,1974-01-29
Roger,Glenn,Texas,M,1958-01-10
Jason,Marshall,Oklahoma,M,1976-03-13
Latoya,Carter,California,F,1973-05-24
Zachary,Martin,California,M,1976-07-16
Alexis,Bray,Florida,F,1957-11-19
Nicholas,Williamson,Missouri,M,1943-05-24
Trevor,Fitzgerald,New Jersey,M,1961-09-13
Melissa,Wilson,Ohio,F,1980-11-16
Jesse,Hill,Michigan,M,1956-01-20
Timothy,Fuentes,Arizona,M,1972-04-18
Jennifer,Nguyen,Maryland,F,1949-06-08
Steven,Ferguson,New Jersey,M,1948-07-16
Jennifer,Combs,Massachusetts,F,1966-11-04
Carmen,Sparks,Virginia,F,1953-07-28
Stacey,Sanchez,New York,F,1964-10-07
Scott,Richardson,California,M,1950-02-01
Isaac,Richmond,Massachusetts,M,1959-02-09
Paul,Aguilar,Maine,M,1936-11-24
Joseph,Johnson,New Mexico,M,1960-04-18
Peter,Quinn,New York,M,1962-01-16
Adam,Blanchard,Colorado,M,1965-01-29
Amy,Sanchez,Ohio,F,1959-06-27
Ashley,Krueger,Arizona,F,1930-09-12
Natalie,Martinez,Mississippi,F,1938-04-16
Douglas,Holmes,Illinois,M,1971-08-05
Brian,Curtis,Georgia,M,1936-07-19
Natasha,Harding,California,F,1958-09-12
Alisha,Washington,Montana,F,1912-09-27
Nathan,Beck,Pennsylvania,M,1980-06-06
Dennis,Wood,Washington,M,1951-05-12
Ashley,Burns,Pennsylvania,F,1968-10-28
Alexis,Robinson,Arizona,F,1960-12-15
Thomas,Smith,California,M,1963-12-04
Mitchell,Lucas,California,M,1979-01-14
Cynthia,Whitaker,New Jersey,F,1971-03-09
Kyle,Castillo,Idaho,M,1949-11-01
Donald,Conner,Washington,M,1961-03-26
Timothy,James,North Carolina,M,1979-02-19
Jennifer,Whitehead,Texas,F,1966-07-10
Deborah,Zimmerman,California,F,1945-03-15
Valerie,Garcia,Georgia,F,1960-01-16
Michelle,White,California,F,1970-11-28
Jeffrey,Joseph,New Hampshire,M,1976-01-31
Tiffany,Carpenter,Missouri,F,1980-09-17
Brandon,Wilson,Texas,M,1968-09-10
Mercedes,Rodriguez,Vermont,F,1953-10-18
Patricia,Thompson,Kansas,F,1969-04-07
Kelsey,Marquez,Texas,F,1968-09-13
Mercedes,Harris,Illinois,F,1978-06-04
Jennifer,Smith,Arizona,F,1957-04-17
Aaron,Woods,Illinois,M,1942-07-19
Jaime,Bolton,New York,F,1959-01-13
Taylor,Parsons,Nebraska,M,1965-08-02
Mary,Brown,Maryland,F,1966-04-14
Shannon,Johnson,Texas,F,1970-10-13
Lindsay,Tucker,Texas,F,1940-05-30
Jeremy,Rodriguez,California,M,1948-01-01
Jeremy,Gonzalez,New York,M,1981-01-31
Matthew,Perkins,Kansas,M,1975-12-20
Ryan,Wilson,Maine,M,1952-05-21
William,Velazquez,Colorado,M,1966-01-31
Aimee,Osborne,Arizona,F,1957-11-15
Brian,Martin,Florida,M,1965-09-25
Jasmine,Mccormick,Michigan,F,1969-03-30
Randy,Kelly,California,M,1926-06-11
Meagan,Serrano,Arizona,F,1954-06-14
Michael,Cole,Montana,M,1980-10-21
Eddie,Stephenson,Florida,M,1941-05-03
Debra,Welch,Florida,F,1952-07-17
Walter,Walters,Pennsylvania,M,1974-02-27
Rebecca,Love,Georgia,F,1970-12-02
Lauren,Robinson,New Hampshire,F,1944-08-14
Melissa,Mendoza,Arizona,F,1963-01-11
John,Harmon,Colorado,M,1977-04-18
Leslie,Fischer,Illinois,F,1980-06-20
Dennis,Garcia,South Carolina,M,1956-11-02
Darren,Vasquez,Connecticut,M,1953-08-29
Glenn,Phillips,New York,M,1953-07-08
Thomas,Mcdaniel,Maryland,M,1937-01-31
Charles,Stevens,Iowa,M,1936-10-04
Russell,Lloyd,Illinois,M,1954-02-01
Victoria,Riley,Texas,F,1954-05-02
Ryan,Dixon,California,M,1978-10-20
Keith,Roberts,New Mexico,M,1957-03-27
Thomas,Pierce,Minnesota,M,1953-01-29
Alyssa,Pope,Mississippi,F,1936-03-01
Amanda,Ho,Iowa,F,1968-12-09
Mark,Scott,Washington,M,1932-01-16
Christina,Green,Florida,F,1955-09-17
Jim,Thompson,Washington,M,1979-01-18
Richard,Reed,Tennessee,M,1980-08-27
Mackenzie,Cook,Florida,F,1949-05-20
Gregory,Porter,North Carolina,M,1966-03-14
Anthony,Castro,California,M,1974-01-13
Margaret,Gilbert,North Carolina,F,1952-09-01
Cory,Collier,Louisiana,M,1954-05-18
Tony,French,North Carolina,M,1962-05-04
Randall,Riggs,Mississippi,M,1934-12-09
William,Murphy,Arizona,M,1967-11-04
Zachary,Fox,Texas,M,1960-12-26
Kenneth,Jackson,Connecticut,M,1959-11-25
Shelly,Hicks,Indiana,F,1947-01-04
Erica,Alexander,Illinois,F,1959-08-27
Cheryl,Wallace,New York,F,1951-07-20
Anthony,Garcia,Minnesota,M,1950-02-10
Katelyn,Miller,Colorado,F,1927-01-08
Kevin,Knight,New Jersey,M,1957-05-31
Sandy,Phelps,Illinois,F,1964-08-31
Marc,Williams,Illinois,M,1950-07-11
Jorge,White,Mississippi,M,1976-12-09
James,Valentine,Idaho,M,1962-03-20
Anna,Gomez,Tennessee,F,1979-09-14
Greg,Gonzalez,Virginia,M,1942-02-11
Kevin,Taylor,Vermont,M,1937-07-17
Yvonne,Frye,Arizona,F,1952-03-15
Thomas,Davies,New Jersey,M,1972-11-26
Kevin,Atkins,Washington,M,1981-01-07
Samantha,Weaver,Oklahoma,F,1963-06-08
Lee,Schneider,New Mexico,M,1953-10-06
Brian,Hernandez,Arizona,M,1974-01-25
Anthony,Garza,Pennsylvania,M,1943-05-20
Andrew,Smith,Wisconsin,M,1980-12-13
Kevin,Watkins,Pennsylvania,M,1978-07-24
Jennifer,Smith,Ohio,F,1979-08-31
Whitney,Costa,Virginia,F,1963-08-20
Krystal,Campbell,Connecticut,F,1953-02-21
Rebecca,Barnes,Wyoming,F,1962-12-17
Katherine,Martinez,Missouri,F,1980-05-29
Carlos,Hull,New York,M,1957-08-15
Danielle,Bailey,Michigan,F,1978-04-11
Amanda,Smith,New Hampshire,F,1942-10-16
Trevor,Davis,Ohio,M,1954-07-17
Peter,Simmons,Florida,M,1952-10-25
Danielle,Davidson,Florida,F,1962-02-05
Tanya,Anderson,Pennsylvania,F,1963-11-14
Anthony,Powell,Arizona,M,1927-01-04
Andrew,Wade,Massachusetts,M,1974-04-24
Michael,Richmond,Missouri,M,1933-09-20
Brandon,Williams,Wyoming,M,1929-11-11
Scott,Montoya,Missouri,M,1978-10-19
Mary,Hurley,Arizona,F,1960-09-24
Stephen,Martinez,Texas,M,1964-10-05
Chelsey,Morton,Massachusetts,F,1960-02-17
Lisa,Casey,Nebraska,F,1980-03-21
Christopher,Brown,Arizona,M,1935-02-26
Jennifer,Hansen,New York,F,1968-03-01
Justin,Spencer,Virginia,M,1963-06-13
Kevin,Gates,California,M,1960-08-01
Stephen,Tyler,Kansas,M,1959-10-17
Krystal,Fernandez,New York,F,1960-05-17
Julie,Barnes,Ohio,F,1951-06-30
Kenneth,Mendez,Texas,M,1968-12-23
Corey,Hernandez,Colorado,M,1976-05-08
George,Walters,Michigan,M,1964-02-28
Matthew,Chung,Washington,M,1959-05-01
Keith,Snyder,Arizona,M,1965-02-23
Scott,White,New Jersey,M,1939-09-16
Ann,Lopez,Mississippi,F,1974-06-11
Christopher,Parker,Texas,M,1942-08-28
Linda,Faulkner,Indiana,F,1969-12-07
Janet,Olsen,Virginia,F,1967-10-06
Gregory,Wilson,Texas,M,1934-07-09
Jacob,Walker,California,M,1947-09-11
Adam,Miller,Iowa,M,1961-06-12
Debra,Smith,New Mexico,F,1971-12-13
Raymond,Ponce,Florida,M,1948-12-31
David,Reynolds,Arizona,M,1979-04-05
Katherine,Ferguson,New York,F,1960-12-19
Holly,Barnes,New York,F,1933-03-11
Alex,Smith,Illinois,M,1971-09-22
Richard,Wheeler,Illinois,M,1974-06-24
Nicholas,Robertson,West Virginia,M,1973-03-07
Danny,Jackson,Michigan,M,1946-05-12
Kathryn,Reid,Iowa,F,1966-07-24
Christopher,Cooper,California,M,1931-10-01
Brandon,Sanchez,Pennsylvania,M,1952-08-17
Louis,Ortiz,Arizona,M,1956-02-27
Madeline,Flores,Arizona,F,1965-10-25
Gary,Frazier,Ohio,M,1965-09-08
Daniel,Nielsen,Illinois,M,1952-07-26
Scott,Myers,Florida,M,1949-04-18
Omar,Mcguire,New York,M,1972-01-03
Donna,Jones,Florida,F,1973-08-30
Julie,Flores,Virginia,F,1977-10-01
Samuel,Kline,Massachusetts,M,1936-11-24
Emma,Smith,Utah,F,1958-01-10
Francisco,Hansen,Florida,M,1944-11-25
David,Escobar,Missouri,M,1976-06-01
Beth,Dennis,Illinois,F,1953-09-21
Alexis,Patterson,Arizona,F,1953-02-12
Sierra,Smith,Arkansas,F,1940-03-13
Julie,Hanson,Georgia,F,1943-06-07
Shannon,Stevenson,Pennsylvania,F,1941-05-03
Michael,Walters,Arizona,M,1941-11-08
Dominique,Holloway,Georgia,F,1952-11-05
Malik,Jones,Florida,M,1954-09-02
Julia,Carter,Florida,F,1939-03-15
Calvin,Brown,Virginia,M,1980-06-27
Christopher,Thomas,Ohio,M,1959-02-12
Victoria,Hayes,Texas,F,1938-12-26
Michael,Guerra,Arizona,M,1957-08-02
Daniel,Ortiz,Kansas,M,1976-06-04
Dylan,Powell,Texas,M,1968-04-06
Vernon,Warren,California,M,1955-04-29
Yesenia,Gonzalez,Arkansas,F,1950-09-02
Crystal,Horton,Massachusetts,F,1975-05-14
Christopher,Day,New Mexico,M,1953-12-28
Phillip,Strong,Colorado,M,1950-12-19
Dakota,Williams,California,M,1973-12-16
Gary,Barrett,New Jersey,M,1954-03-07
Joseph,Wood,Indiana,M,1918-06-27
Michael,Reyes,North Carolina,M,1965-12-25
Andrea,Brown,Michigan,F,1971-06-01
Nicole,Smith,California,F,1947-03-05
Debra,Mccullough,Florida,F,1960-11-14
Brian,Best,Iowa,M,1978-07-24
Carrie,Mason,Arizona,F,1968-01-23
Daniel,Henderson,Utah,M,1966-07-13
Theresa,Dean,Nebraska,F,1980-06-25
Jennifer,Thompson,New York,F,1976-06-09
Ryan,Johnson,Washington,M,1966-11-23
Elizabeth,Dominguez,Arkansas,F,1953-06-19
Kimberly,Bean,Florida,F,1964-02-26
Robert,Rodriguez,Iowa,M,1966-02-03
Joseph,Warren,New Jersey,M,1964-06-29
Allen,Guzman,Colorado,M,1962-05-19
Erica,Cruz,Michigan,F,1943-08-14
Terry,Jackson,Wisconsin,M,1954-01-09
Kenneth,Cunningham,Ohio,M,1964-01-29
Nancy,Mendez,Tennessee,F,1970-01-27
Kelly,Baker,Texas,F,1954-07-25
Shawn,Nelson,South Carolina,M,1955-05-05
Thomas,Simpson,Vermont,M,1978-09-21
Derek,Velasquez,Tennessee,M,1949-06-01
Robert,Jones,Illinois,M,1940-07-19
Stephanie,Miller,Arizona,F,1946-04-11
Sara,Hess,Kansas,F,1951-03-27
Rachel,White,Texas,F,1947-03-20
Nicholas,Daniels,Connecticut,M,1947-07-28
Gabriela,Keith,New Jersey,F,1954-10-11
David,Ortiz,Rhode Island,M,1949-04-05
Steven,Garcia,South Carolina,M,1974-01-08
Jennifer,Rangel,Texas,F,1937-10-15
Nancy,Lee,Colorado,F,1970-10-11
Stacey,Watson,Illinois,F,1959-06-01
Jason,Roberts,Iowa,M,1981-04-02
Javier,Morrison,North Carolina,M,1956-10-19
Kathleen,Lynch,Kentucky,F,1962-12-21
Tara,Webb,District of Columbia,F,1957-02-22
Cassandra,Adams,Georgia,F,1919-04-27
James,Le,Washington,M,1972-02-05
James,Martinez,Missouri,M,1953-05-05
Megan,Camacho,Iowa,F,1979-08-20
Sherry,Johnson,Texas,F,1975-08-04
James,Lawson,Georgia,M,1942-11-03
Beth,Young,New York,F,1978-02-14
Christopher,Nash,Connecticut,M,1971-09-29
Nathan,Hughes,Pennsylvania,M,1977-08-31
Gregg,Taylor,Ohio,M,1955-12-25
Eric,Mckinney,Oregon,M,1976-11-19
Rebecca,Livingston,Ohio,F,1971-11-04
Joseph,Phillips,Iowa,M,1960-10-15
Heather,Hall,Massachusetts,F,1968-04-16
Daniel,Molina,Utah,M,1940-07-19
Matthew,Lawson,Tennessee,M,1959-01-03
Debra,Humphrey,Pennsylvania,F,1950-06-28
Christopher,Cox,Pennsylvania,M,1969-08-05
John,Campbell,Indiana,M,1962-09-27
Cassandra,Moore,Oklahoma,F,1970-01-08
Jason,Dennis,New York,M,1942-04-25
Tracey,Sullivan,Ohio,F,1948-05-10
